x,y,out
44,6,48.7640019142
13,35,44.0916817395
27,6,38.4723183976
14,21,36.4033177542
50,40,44.3610257231
15,40,55.712620431
36,36,45.9622577993
3,4,36.9068414275
26,48,49.9985405956
44,18,63.1203818789
32,41,63.7118042965
33,5,56.9137825855
31,19,40.6089295255
4,1,35.8281475646
48,26,36.8816937846
10,4,64.5221842071
14,40,39.3888480715
17,9,49.8493147537
47,30,61.0137363
16,47,62.2865095487
32,4,36.9822447806
8,19,64.0675885098
15,19,41.7976376365
32,8,56.0309852082
45,12,64.5098346702
50,29,53.1729601944
4,40,36.3771041814
40,32,55.3823161595
48,41,61.3949772953
36,32,52.8485804436
25,5,37.7304449607
41,2,47.4815784263
50,18,36.1331232099
21,37,47.3324014911
45,50,57.2447590823
40,29,63.0517266636
5,29,40.7739659185
5,3,54.1300091446
33,28,57.0199231248
8,42,49.5759954747
9,26,48.8335127865
31,15,64.4517608973
23,10,39.9137430624
14,48,64.7939704625
49,7,58.448407775
43,40,52.2051812387
37,18,51.1467197383
0,38,41.1270897359
29,28,48.5086534441
28,5,59.7861950686
20,2,39.3162688118
47,27,58.761399142
25,16,63.7360690799
1,1,52.2047090017
27,5,36.7394838952
26,18,39.833964504
47,19,40.4929236963
6,9,61.5437325991
17,15,52.239198551
44,29,57.0364157445
12,10,61.5732911371
19,28,54.4898249356
11,34,38.6237435313
49,39,43.1260207976
27,18,44.4066236015
24,19,64.4438281098
12,38,38.4046231949
18,6,64.1795133958
18,44,40.8788576781
29,1,63.8770003445
36,50,47.1494902071
3,9,58.3986013039
50,45,64.490057045
26,31,62.8814175153
47,35,43.9492840601
29,31,50.3580772885
12,50,56.4003274635
15,45,60.934128133
5,19,58.6298161955
1,43,47.3990407744
15,4,61.347912164
17,21,59.0589603558
28,44,59.6843638881
21,29,49.5078166527
1,29,39.8193648557
37,13,41.6822666276
42,28,40.6163167435
41,12,55.9029276665
4,44,42.6141132848
28,46,49.4412289706
50,12,49.0485979063
3,18,57.3633428796
37,12,38.3382109456
9,4,54.0265881953
1,12,57.3970627441
17,35,43.253423394
8,33,49.0435578866
17,44,63.5683778617
15,29,58.393629254
12,11,38.7980827883
33,32,35.4411310907
10,25,46.8702008626
3,35,64.6667857034
2,19,52.8966902095
36,12,36.644898145
18,18,38.4859672208
14,11,47.6382012599
48,3,63.8665195961
2,18,62.1231901258
30,35,50.1381264711
1,9,45.0477551925
16,50,39.5193101336
14,4,64.7485309373
11,9,45.5497408684
37,3,38.7628817635
24,29,54.9076440041
13,33,57.5929687964
1,5,54.5120496665
31,13,45.8934273969
21,48,41.4892091388
0,26,43.4418059671
4,38,39.1455995841
24,26,38.6904063898
46,27,38.1799112261
50,31,50.5661257883
20,32,54.8377261028
11,15,36.6749981654
23,34,41.8887575787
7,29,52.8837846014
46,34,44.3640837089
6,42,40.7044131979
25,37,48.2865555878
4,16,47.8394925589
10,27,51.5067458495
33,47,59.375760427
8,50,50.0402602651
8,8,49.4003985556
41,34,55.9303441
12,41,41.1611601847
37,37,50.7521448947
16,29,60.9106590243
43,11,40.5543478237
5,35,44.5870687625
45,30,58.8376821877
32,38,56.3247358799
20,37,54.9540659108
38,47,35.5552717993
3,25,38.4080210336
34,1,37.8271524367
40,31,57.1200859383
